2017-03-13,414,8:16,19:03
2017-03-14,414,8:14,19:00
2017-03-15,414,8:24,12:22
2017-03-20,414,8:06,19:00
2017-03-23,414,8:14,19:00
2017-03-22,414,8:13,19:00
2017-03-01,10511,8:36,20:00
2017-03-07,10511,8:49,20:00
2017-03-23,10511,9:26,20:00
2017-03-04,95,13:03,19:00
2017-03-06,95,8:00,12:00
2017-03-08,95,12:59,18:00
2017-03-09,95,8:07,19:30
2017-03-11,95,9:29,22:01
2017-03-17,95,8:27,8:27
2017-03-20,95,8:28,19:32
2017-03-21,95,8:31,16:32
2017-03-01,148,10:30,18:22
2017-03-04,148,8:34,17:00
2017-03-06,148,8:25,18:55
2017-03-07,148,8:18,19:01
2017-03-08,148,8:31,18:00
2017-03-09,148,8:47,18:00
2017-03-10,148,8:35,18:01
2017-03-11,148,8:51,18:13
2017-03-13,148,8:32,18:14
2017-03-14,148,8:45,18:02
2017-03-15,148,8:45,19:58
2017-03-16,148,8:32,18:06
2017-03-17,148,8:46,18:05
2017-03-18,148,18:11,18:11
2017-03-20,148,8:43,18:17
2017-03-23,148,8:28,23:57
2017-03-21,148,8:29,8:29
2017-03-22,148,9:38,23:57
2017-03-24,148,8:46,8:46
2017-03-11,785,8:43,20:00
2017-03-18,785,8:43,19:00
2017-03-01,168,8:13,18:03
2017-03-03,168,9:48,18:02
2017-03-06,168,8:07,18:00
2017-03-07,168,8:10,18:02
2017-03-08,168,9:15,18:00
2017-03-09,168,8:22,18:00
2017-03-10,168,8:25,12:01
2017-03-14,168,8:20,18:02
2017-03-15,168,8:14,18:02
2017-03-16,168,8:48,18:01
2017-03-17,168,8:56,18:01
2017-03-20,168,8:53,18:01
2017-03-02,132,9:25,20:00
2017-03-08,132,8:26,20:00
2017-03-02,738,8:18,20:00
2017-03-03,738,8:19,20:00
2017-03-04,738,8:17,20:00
2017-03-06,738,8:12,20:00
2017-03-07,738,8:23,20:00
2017-03-08,738,8:24,20:00
2017-03-09,738,8:18,20:00
2017-03-10,738,8:21,19:00
2017-03-11,738,8:15,20:00
2017-03-14,738,8:19,20:00
2017-03-15,738,8:24,20:00
2017-03-16,738,8:17,20:00
2017-03-17,738,8:24,20:00
2017-03-18,738,8:20,20:00
2017-03-20,738,8:12,12:00
2017-03-23,738,8:12,20:00
2017-03-22,738,8:19,20:00
2017-03-24,738,8:13,8:13
2017-03-01,785,8:20,18:07
2017-03-02,785,8:21,18:00
2017-03-06,785,8:08,18:00
2017-03-07,785,8:18,16:21
2017-03-09,785,10:10,18:01
2017-03-10,785,8:19,17:00
2017-03-11,785,8:11,16:22
2017-03-13,785,8:29,18:00
2017-03-14,785,8:25,18:01
2017-03-15,785,8:26,16:04
2017-03-16,785,13:24,18:01
2017-03-17,785,8:12,17:59
2017-03-18,785,8:39,16:52
2017-03-20,785,8:32,18:01
2017-03-23,785,9:45,18:01
2017-03-21,785,8:18,18:00
2017-03-22,785,8:19,18:00
2017-03-24,785,8:26,8:26
